object_layer,startTime,neigborhoodSize,epsilon,minPts,similarity[%],AVGclusterheight,endTime
object_8_layer_14.png,1833110580259,15,1.0,3,1.0850694444444444,3.5054054054054054,1833128946684
object_8_layer_15.png,1833129180627,15,1.0,3,1.9314236111111112,3.5052631578947366,1833150155099
object_8_layer_16.png,1833150409923,15,1.0,3,1.1284722222222223,3.4959893048128343,1833175609598
object_8_layer_17.png,1833175873018,15,1.0,3,0.6618923611111112,3.494638069705094,1833184936475
object_8_layer_18.png,1833185173037,15,1.0,3,0.7378472222222222,3.4859060402684565,1833203086428
object_8_layer_19.png,1833203333148,15,1.0,3,1.0199652777777777,3.474462365591398,1833223852997
object_8_layer_20.png,1833224102398,15,1.0,3,1.4214409722222223,3.501322751322751,1833235132424
object_8_layer_1.png,1834498843015,15,1.0,3,0.87890625,3.491344873501997,1834533247140
object_8_layer_2.png,1834533489357,15,1.0,3,1.2044270833333333,3.491228070175439,1834557515859
object_8_layer_3.png,1834558868482,15,1.0,3,1.7686631944444444,3.4933155080213902,1834586091822
object_8_layer_4.png,1834586338290,15,1.0,3,1.1610243055555556,3.5026385224274406,1834622287488
object_8_layer_5.png,1834622434583,15,1.0,3,2.34375,3.532981530343008,1834631912475
object_8_layer_6.png,1834632132573,15,1.0,3,2.419704861111111,3.5572916666666665,1834648185851
object_8_layer_7.png,1834648396065,15,1.0,3,1.5516493055555556,3.547043010752688,1834666953445
object_8_layer_8.png,1834667187160,15,1.0,3,2.0833333333333335,3.564814814814815,1834683130255
object_8_layer_9.png,1834683382452,15,1.0,3,2.4305555555555554,3.5821287779237845,1834716719238
object_8_layer_10.png,1834716947883,15,1.0,3,3.1792534722222223,3.5893333333333333,1834728411996
object_8_layer_11.png,1834728445811,15,1.0,3,2.9188368055555554,3.634920634920635,1834737102476
object_8_layer_12.png,1834737301305,15,1.0,3,2.0833333333333335,3.6246648793565686,1834763421992
object_8_layer_13.png,1834763704538,15,1.0,3,2.1592881944444446,3.6613333333333333,1834778599286
object_8_layer_14.png,1834778842459,15,1.0,3,2.24609375,3.625,1834801203576
object_8_layer_15.png,1834801438539,15,1.0,3,3.2118055555555554,3.6649006622516556,1834824325422
object_8_layer_16.png,1834824565439,15,1.0,3,2.1375868055555554,3.684709066305819,1834848413490
object_8_layer_17.png,1834848633332,15,1.0,3,1.46484375,3.702956989247312,1834862293007
object_8_layer_18.png,1834862505962,15,1.0,3,1.5842013888888888,3.66260162601626,1834878280402
object_8_layer_19.png,1834878496177,15,1.0,3,2.1484375,3.662106703146375,1834905042064
object_8_layer_20.png,1834905342148,15,1.0,3,2.5716145833333335,3.6590296495956873,1834928820172
object_8_layer_1.png,1835907740097,15,1.0,3,1.7252604166666667,3.6452933151432467,1835996366763
object_8_layer_2.png,1835996646393,15,1.0,3,1.9965277777777777,3.661559888579387,1836037499134
object_8_layer_3.png,1836038356322,15,1.0,3,2.853732638888889,3.660300136425648,1836105479580
object_8_layer_4.png,1836105733765,15,1.0,3,2.517361111111111,3.657219973009447,1836180496607
object_8_layer_5.png,1836180733023,15,1.0,3,3.9171006944444446,3.6887052341597797,1836228691700
object_8_layer_6.png,1836228838110,15,1.0,3,4.188368055555555,3.6989247311827955,1836275582652
object_8_layer_7.png,1836275956909,15,1.0,3,2.6692708333333335,3.7056338028169016,1836362159857
object_8_layer_8.png,1836362407718,15,1.0,3,3.6241319444444446,3.7099447513812156,1836430966667
object_8_layer_9.png,1836431194228,15,1.0,3,3.9605034722222223,3.773405698778833,1836496156997
object_8_layer_10.png,1836496389128,15,1.0,3,5.143229166666667,3.7385257301808066,1836557770128
object_8_layer_11.png,1836558010902,15,1.0,3,4.329427083333333,3.7951153324287654,1836586782026
object_8_layer_12.png,1836587043214,15,1.0,3,3.4505208333333335,3.768595041322314,1836645145894
object_8_layer_13.png,1836645382157,15,1.0,3,3.3854166666666665,3.7759562841530054,1836718499781
object_8_layer_14.png,1836718916685,15,1.0,3,3.9496527777777777,3.7482517482517483,1836754633945
object_8_layer_15.png,1836754909280,15,1.0,3,4.8828125,3.7461858529819696,1836833650852
object_8_layer_16.png,1836833886475,15,1.0,3,3.7000868055555554,3.76163610719323,1836896836784
object_8_layer_17.png,1836897101341,15,1.0,3,2.9730902777777777,3.767732962447844,1836964078322
object_8_layer_18.png,1836964357354,15,1.0,3,2.810329861111111,3.7768479776847976,1837046323539
object_8_layer_19.png,1837046581520,15,1.0,3,3.3745659722222223,3.7567185289957568,1837106187077
object_8_layer_20.png,1837106437941,15,1.0,3,4.069010416666667,3.7641379310344827,1837179121900
object_8_layer_1.png,1838436556925,20,1.0,3,0.5750868055555556,3.7752161383285303,1838473995953
object_8_layer_2.png,1838474242461,20,1.0,3,0.16276041666666666,3.769343065693431,1838517143545
object_8_layer_3.png,1838519438420,20,1.0,3,0.5425347222222222,3.7514450867052025,1838541363517
object_8_layer_4.png,1838541500913,20,1.0,3,0.0,3.761627906976744,1838565317259
object_8_layer_5.png,1838565554016,20,1.0,3,0.3038194444444444,3.7413793103448274,1838585035588
object_8_layer_6.png,1838585317945,20,1.0,3,0.29296875,3.721985815602837,1838602196354
object_8_layer_7.png,1838602414429,20,1.0,3,0.20616319444444445,3.731811697574893,1838616775264
object_8_layer_8.png,1838616998472,20,1.0,3,0.3363715277777778,3.7124645892351276,1838643969631
object_8_layer_9.png,1838645706523,20,1.0,3,0.5533854166666666,3.6935933147632314,1838665239570
object_8_layer_10.png,1838669228604,20,1.0,3,0.5859375,3.7030812324929974,1838684544459
object_8_layer_11.png,1838684760054,20,1.0,3,0.7378472222222222,3.700557103064067,1838707772159
object_8_layer_12.png,1838708222090,20,1.0,3,0.5099826388888888,3.6990291262135924,1838730980508
object_8_layer_13.png,1838731225469,20,1.0,3,0.78125,3.708965517241379,1838750131843
object_8_layer_14.png,1838750231610,20,1.0,3,0.4014756944444444,3.714484679665738,1838772141036
object_8_layer_15.png,1838772413356,20,1.0,3,0.8897569444444444,3.717808219178082,1838790678365
object_8_layer_16.png,1838791851697,20,1.0,3,0.5425347222222222,3.7101648351648353,1838827737543
object_8_layer_17.png,1838828304142,20,1.0,3,0.1519097222222222,3.7079889807162534,1838854593913
object_8_layer_18.png,1838858208610,20,1.0,3,0.3363715277777778,3.6993197278911563,1838879412292
object_8_layer_19.png,1838879668424,20,1.0,3,0.5425347222222222,3.703551912568306,1838894322573
object_8_layer_20.png,1838894532037,20,1.0,3,1.0091145833333333,3.692517006802721,1838918623127
object_8_layer_1.png,1840014290125,20,1.0,3,0.20616319444444445,3.702185792349727,1840047123451
object_8_layer_2.png,1840047361222,20,1.0,3,0.5533854166666666,3.705639614855571,1840071361581
object_8_layer_3.png,1840071619565,20,1.0,3,0.87890625,3.6910569105691056,1840117459400
object_8_layer_4.png,1840117650536,20,1.0,3,0.4014756944444444,3.6828609986504723,1840140111642
object_8_layer_5.png,1840140369055,20,1.0,3,1.2044270833333333,3.6854082998661313,1840171965666
object_8_layer_6.png,1840172210286,20,1.0,3,1.1610243055555556,3.686092715231788,1840227868506
object_8_layer_7.png,1840231426264,20,1.0,3,0.5859375,3.702156334231806,1840257327982
object_8_layer_8.png,1840257608453,20,1.0,3,1.0850694444444444,3.696404793608522,1840273493346
object_8_layer_9.png,1840273763005,20,1.0,3,1.5950520833333333,3.680683311432326,1840299792729
object_8_layer_10.png,1840300034483,20,1.0,3,1.7469618055555556,3.687002652519894,1840326219698
object_8_layer_11.png,1840326456734,20,1.0,3,1.8663194444444444,3.732,1840356172078
object_8_layer_12.png,1840356413915,20,1.0,3,1.2261284722222223,3.7097203728362182,1840380051193
object_8_layer_13.png,1840381356465,20,1.0,3,1.4214409722222223,3.7197875166002654,1840405741133
object_8_layer_14.png,1840406178551,20,1.0,3,1.3129340277777777,3.7053333333333334,1840423009157
object_8_layer_15.png,1840423233666,20,1.0,3,2.560763888888889,3.733245729303548,1840454066018
object_8_layer_16.png,1840454122555,20,1.0,3,1.4431423611111112,3.7055702917771884,1840479478260
object_8_layer_17.png,1840479719907,20,1.0,3,0.9765625,3.720159151193634,1840496843497
object_8_layer_18.png,1840497066387,20,1.0,3,1.1935763888888888,3.7453333333333334,1840522189638
object_8_layer_19.png,1840522401144,20,1.0,3,1.4105902777777777,3.7303070761014685,1840554619933
object_8_layer_20.png,1840554839311,20,1.0,3,1.8880208333333333,3.728232189973615,1840581270338
object_8_layer_1.png,1841659856745,20,1.0,3,0.8355034722222222,3.704635761589404,1841753498852
object_8_layer_2.png,1841753724993,20,1.0,3,1.3237847222222223,3.7097203728362182,1841819231702
object_8_layer_3.png,1841819485640,20,1.0,3,1.8988715277777777,3.6980392156862747,1841888127252
object_8_layer_4.png,1841888514163,20,1.0,3,1.0525173611111112,3.716710182767624,1841931161770
object_8_layer_5.png,1841931424697,20,1.0,3,2.3871527777777777,3.743119266055046,1841970877438
object_8_layer_6.png,1841971093112,20,1.0,3,2.4956597222222223,3.7419354838709675,1841982031117
object_8_layer_7.png,1841982331668,20,1.0,3,1.4214409722222223,3.7729083665338647,1842008863060
